"商品コード","商品名","仕入先コード","仕入先名","在庫数","引当数","フリー在庫数","不良在庫数","欠品数","発注残数","商品区分","商品タグ","取扱区分","適正在庫数","発注点","ロット","原価","売価","在庫金額","表示価格","ＪＡＮコード"
"13276640","丈直し専用ページ_minne","9999","設定なし","0","0","0","0","0","0","通常","","取扱中止","0","0","0","0.00","1800.00","0.00","","4580604900013"
"5466554","丈直し専用ページ_Creema","9999","設定なし","0","0","0","0","0","0","通常","","取扱中止","0","0","0","0.00","1800.00","0.00","","4580604900037"
"715-00030","setジャケット_ブラック","4","ラブリークィーン株式会社","0","0","0","0","0","0","通常","","取扱中止","0","0","0","4840.00","7980.00","0.00","","4580604900044"
"715-00031","setジャケット_チェック","4","ラブリークィーン株式会社","0","0","0","0","0","0","通常","","取扱中止","0","0","0","4840.00","7980.00","0.00","","4580604900051"
"715-00032-L","setパンツ_ブラック_L","4","ラブリークィーン株式会社","0","0","0","0","0","0","通常","","取扱中止","0","0","0","2530.00","7980.00","0.00","","4580604900068"
"715-00032-M","setパンツ_ブラック_M","4","ラブリークィーン株式会社","0","0","0","0","0","0","通常","","取扱中止","0","0","0","2530.00","7900.00","0.00","","4580604900075"
"715-00033-L","setパンツ_チェック_L","4","ラブリークィーン株式会社","0","0","0","0","0","0","通常","","取扱中止","0","0","0","2530.00","7900.00","0.00","","4580604900082"
"715-00033-M","setパンツ_チェック_M","4","ラブリークィーン株式会社","0","0","0","0","0","0","通常","","取扱中止","0","0","0","2530.00","7900.00","0.00","","4580604900099"
"bere-01-be","ベレー帽_ベージュ千鳥","4","ラブリークィーン株式会社","0","0","0","0","0","0","通常","","取扱中止","0","0","0","1980.00","3940.00","0.00","","4580604900105"
"bere-01-lg","ベレー帽_ライトグレー","4","ラブリークィーン株式会社","0","0","0","0","0","0","通常","","取扱中止","0","0","0","1980.00","3940.00","0.00","","4580604900112"
"birthday","バースデーカード","9999","設定なし","99","0","99","0","0","0","通常","[99999月末在庫調整]","取扱中止","0","0","0","0.00","55.00","0.00","",""
"boa-01-lg","ボアバッグ_ライトグレー","4","ラブリークィーン株式会社","0","0","0","0","0","0","通常","","取扱中止","0","0","0","1980.00","3000.00","0.00","","4580604900129"
"boa-01-ny","ボアバッグ_ネイビー","4","ラブリークィーン株式会社","0","0","0","0","0","0","通常","","取扱中止","0","0","0","1980.00","3000.00","0.00","","4580604900136"
"cl001-m-bk","クラッチバッグ-黒","1","MIRATIME","0","0","0","0","0","0","通常","","取扱中止","0","0","0","4290.00","10000.00","0.00","","4580604900143"
"cl001-m-re","クラッチバッグ-レッド","1","MIRATIME","0","0","0","0","0","0","通常","","取扱中止","0","0","0","4290.00","10000.00","0.00","","4580604900150"
"dp002m-lb","裾が切りっぱなし-ライトブルー","1","MIRATIME","0","0","0","0","0","0","通常","","取扱中止","0","0","0","4290.00","10000.00","0.00","","4580604900167"
"gift","ギフトラッピング","9999","設定なし","99995","0","99995","0","0","0","通常","[99999月末在庫調整]","取扱中止","0","0","0","0.00","0.00","0.00","",""
"gift-christmas","Christmasギフトラッピング","9999","設定なし","11","0","11","0","0","0","通常","","取扱中止","1","0","0","0.00","110.00","0.00","",""
"gift-father","父の日ラッピング","9999","設定なし","99999","0","99999","0","0","0","通常","[99999月末在庫調整]","取扱中止","0","0","0","0.00","0.00","0.00","",""
"gift-mother","母の日カード＆ラッピング","9999","設定なし","0","0","0","0","0","0","通常","","取扱中","0","0","0","0.00","0.00","0.00","",""
"gift-ny","ギフトラッピング（紺）ネイビー","9999","設定なし","19","0","19","0","0","0","通常","[99999月末在庫調整]","取扱中","0","0","0","0.00","110.00","0.00","",""
"gift-re","ギフトラッピング（赤）レッド","9999","設定なし","39","0","39","0","0","0","通常","[99999月末在庫調整]","取扱中止","0","0","0","0.00","110.00","0.00","",""
"kaku-01-bk","しかくリュック【上質puレザー】ブラック","9","ハピネス","0","0","0","0","0","0","通常","","取扱中","0","0","0","4070.00","9980.00","0.00","","4580604900181"
"kaku-01-gb","四角リュック-グレージュ","1","MIRATIME","0","0","0","0","0","0","通常","","取扱中止","0","0","0","4070.00","9980.00","0.00","","4580604900198"
"kaku-01-gy","しかくリュック【上質puレザー】グレー","9","ハピネス","0","0","0","0","0","0","通常","","取扱中","0","0","0","3740.00","9980.00","0.00","","4580604905087"
"kaku-01-lb","四角リュック-ライトブルー","1","MIRATIME","0","0","0","0","0","0","通常","","取扱中止","0","0","0","4070.00","9980.00","0.00","","4580604900204"
"kaku-02-be","ネオプレーン_しかくリュック_ベージュ","11","Astyle","24","0","24","0","0","0","通常","","取扱中","1","0","0","3344.00","9850.00","80256.00","","4580605361639"
"kaku-02-bk","ネオプレーン_しかくリュック_ブラック","9","ハピネス","9","0","9","0","0","50","通常","","取扱中","2","0","0","3344.00","9850.00","30096.00","","4580604904578"
"kaku-02-gy","ネオプレーン_しかくリュック_グレー","9","ハピネス","17","0","17","0","0","0","通常","","取扱中","2","0","0","3344.00","9850.00","56848.00","","4580604904561"
"kaku-02-pk","ネオプレーン_しかくリュック_ダスティピンク","11","Astyle","10","0","10","0","0","0","通常","","取扱中","1","0","0","3344.00","9850.00","33440.00","","4580605361622"
"kn002-bk","カシミヤミンクＶネック-黒","1","MIRATIME","0","0","0","0","0","0","通常","","取扱中止","0","0","0","2750.00","10000.00","0.00","","4580604900211"
